[12, 11, 10, 10, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 11, 10, 9, 7, 7, 7, 7, 1, 1, 1, 1, 6, 2, 4, 2, 1]
[12, 11, 10, 8, 7, 7, 7, 7, 1, 1, 1, 1, 5, 2, 4, 6, 1]
[12, 11, 10, 8, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 11, 10, 8, 7, 7, 7, 7, 1, 1, 1, 1, 2, 2, 4, 6, 1]
[12, 11, 9, 10, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 11, 9, 9, 7, 7, 7, 7, 1, 1, 1, 1, 3, 4, 6, 2, 1]
[12, 11, 9, 8, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 11, 8, 10, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 11, 8, 8, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 10, 11, 10, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 10, 11, 8, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 10, 10, 11, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 10, 10, 8, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 9, 11, 10, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 9, 11, 9, 7, 7, 7, 7, 1, 1, 1, 1, 6, 2, 4, 3, 1]
[12, 9, 11, 8, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 9, 10, 11, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 9, 10, 10, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[12, 9, 10, 9, 7, 7, 7, 7, 1, 1, 1, 1, 6, 2, 5, 2, 1]
[12, 9, 10, 8, 7, 7, 7, 7, 1, 1, 1, 1, 4, 6, 4, 2, 1]
[11, 12, 10, 10, 7, 7, 7, 7, 1, 1, 1, 1, 2, 4, 6, 4, 1]
[11, 12, 9, 10, 7, 7, 7, 7, 1, 1, 1, 1, 2, 4, 6, 4, 1]
[11, 12, 8, 10, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 2, 4, 1]
[11, 12, 8, 10, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 2, 2, 1]
[9, 12, 11, 10, 7, 7, 7, 7, 1, 1, 1, 1, 3, 4, 2, 6, 1]
[9, 12, 11, 8, 7, 7, 7, 7, 1, 1, 1, 1, 3, 4, 2, 6, 1]
[9, 12, 9, 11, 7, 7, 7, 7, 1, 1, 1, 1, 3, 4, 2, 6, 1]
[9, 12, 9, 11, 7, 7, 7, 7, 1, 1, 1, 1, 2, 4, 2, 6, 1]
[9, 12, 9, 10, 7, 7, 7, 7, 1, 1, 1, 1, 3, 4, 2, 6, 1]
[9, 12, 9, 10, 7, 7, 7, 7, 1, 1, 1, 1, 2, 4, 2, 6, 1]
[8, 12, 11, 10, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 3, 4, 1]
[8, 12, 11, 10, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 3, 2, 1]
[8, 12, 9, 11, 7, 7, 7, 7, 1, 1, 1, 1, 2, 4, 6, 4, 1]
[8, 12, 9, 10, 7, 7, 7, 7, 1, 1, 1, 1, 2, 4, 6, 4, 1]
[8, 12, 8, 11, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 2, 4, 1]
[8, 12, 8, 11, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 2, 2, 1]
[8, 12, 8, 10, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 2, 4, 1]
[8, 12, 8, 10, 7, 7, 7, 7, 1, 1, 1, 1, 6, 4, 2, 2, 1]
